iter	RMSE
0	14.62921636
1	14.24959599
2	13.89184281
3	13.55323313
4	13.23586802
5	12.95112401
6	12.67093642
7	12.40244488
8	12.15625926
9	11.88591367
10	11.59781837
11	11.32774217
12	11.12906412
13	10.88298885
14	10.66271451
15	10.44040448
16	10.22878789
17	10.02621086
18	9.835164948
19	9.650400508
20	9.495296025
21	9.325232053
22	9.183555624
23	9.025258333
24	8.88681285
25	8.772534571
26	8.629960423
27	8.495884531
28	8.373140498
29	8.254056064
30	8.155539207
31	8.047009541
32	7.935445591
33	7.852661501
34	7.767061343
35	7.682921281
36	7.597926542
37	7.529056524
38	7.44991417
39	7.367015563
40	7.297153535
41	7.225535396
42	7.150406297
43	7.07589956
44	7.018616532
45	6.9442671
46	6.881251555
47	6.827321767
48	6.764645492
49	6.710333691
50	6.665246854
51	6.613185064
52	6.567190524
53	6.514069464
54	6.467633452
55	6.423834947
56	6.386217759
57	6.350118223
58	6.307766155
59	6.266904457
60	6.236016483
61	6.207295646
62	6.181301716
63	6.148810546
64	6.117304411
65	6.085771476
66	6.061245441
67	6.035066636
68	6.011489555
69	5.979729211
70	5.958071077
71	5.93445901
72	5.910681978
73	5.888871065
74	5.871677007
75	5.858039705
76	5.839157577
77	5.82431022
78	5.80534655
79	5.789937755
80	5.775884089
81	5.76255549
82	5.747622519
83	5.726115089
84	5.714979438
85	5.702355514
86	5.690473911
87	5.682582857
88	5.668575946
89	5.659041014
90	5.649851804
91	5.640029911
92	5.626442862
93	5.610903798
94	5.601090775
95	5.593542955
96	5.58599981
97	5.57756153
98	5.569350184
99	5.5596462
100	5.552558971
101	5.543831627
102	5.53422327
103	5.52882314
104	5.519008745
105	5.511529312
106	5.506349149
107	5.503668377
108	5.496466883
109	5.486086473
110	5.479118448
111	5.467903112
112	5.458993042
113	5.452407063
114	5.446691458
115	5.439292113
116	5.430581283
117	5.42311551
118	5.416364039
119	5.408578283
120	5.399971429
121	5.396523702
122	5.388849768
123	5.379873188
124	5.3703648
125	5.364185994
126	5.358371489
127	5.3533875
128	5.348581708
129	5.34298091
130	5.339754342
131	5.33446409
132	5.328881282
133	5.324466332
134	5.320671397
135	5.318189225
136	5.316921808
137	5.312603414
138	5.308428187
139	5.301591296
140	5.297685517
141	5.294306623
142	5.288763126
143	5.286009211
144	5.281823292
145	5.27965249
146	5.277247424
147	5.272173498
148	5.269414574
149	5.264250637
150	5.256747869
151	5.253954104
152	5.249389002
153	5.244904614
154	5.242078977
155	5.239794551
156	5.236129017
157	5.234859236
158	5.231206454
159	5.224283458
160	5.220895711
161	5.217531027
162	5.21591855
163	5.212490133
164	5.209582773
165	5.206254254
166	5.202219123
167	5.198515612
168	5.19587064
169	5.192702675
170	5.189417224
171	5.186108952
172	5.183086355
173	5.180503101
174	5.177966788
175	5.172835078
176	5.170269303
177	5.168919049
178	5.166003291
179	5.16391043
180	5.161919827
181	5.157531805
182	5.155918346
183	5.152840738
184	5.149801636
185	5.148217117
186	5.145812035
187	5.142243829
188	5.139813013
189	5.137762545
190	5.136556111
191	5.134062971
192	5.132350035
193	5.129579449
194	5.127912742
195	5.125601249
196	5.123617542
197	5.121210438
198	5.116061722
199	5.11472362
200	5.113019524
201	5.112277735
202	5.110463513
203	5.108995449
204	5.105840122
205	5.104408481
206	5.103498898
207	5.102752885
208	5.099163189
209	5.097364589
210	5.095557201
211	5.094517892
212	5.092766577
213	5.09092398
214	5.089712519
215	5.087961137
216	5.086787344
217	5.085588343
218	5.083609174
219	5.081716214
220	5.079646459
221	5.077795086
222	5.075502009
223	5.073723318
224	5.072252545
225	5.071381774
226	5.069347277
227	5.068240913
228	5.065265351
229	5.062965979
230	5.061218576
231	5.057222085
232	5.055354379
233	5.052605435
234	5.050281821
235	5.047112814
236	5.046688132
237	5.043551499
238	5.040985719
239	5.039201042
240	5.036016281
241	5.034142008
242	5.032523105
243	5.030917007
244	5.027573734
245	5.025506046
246	5.024417816
247	5.022811453
248	5.021101172
249	5.020610647
250	5.019083136
251	5.01659963
252	5.016250876
253	5.01525315
254	5.01412615
255	5.013750598
256	5.013004835
257	5.010916086
258	5.007198891
259	5.005777026
260	5.003545145
261	5.0032565
262	4.999107396
263	4.998101662
264	4.997815138
265	4.9962602
266	4.993939035
267	4.992913162
268	4.990870916
269	4.987698121
270	4.985532232
271	4.98421623
272	4.983204148
273	4.980383613
274	4.976965134
275	4.976675161
276	4.974105098
277	4.97152849
278	4.969560933
279	4.968226065
280	4.966306813
281	4.963055713
282	4.959553651
283	4.958555245
284	4.957198744
285	4.955681863
286	4.954098315
287	4.952859446
288	4.947892525
289	4.943408157
290	4.942133016
291	4.940666335
292	4.93938076
293	4.93697364
294	4.935036979
295	4.933701858
296	4.933110382
297	4.928636352
298	4.927281505
299	4.9264452
300	4.923894152
301	4.921808144
302	4.920063694
303	4.918753599
304	4.916103156
305	4.912083463
306	4.909489265
307	4.905451977
308	4.903607124
309	4.901749536
310	4.900524105
311	4.897967971
312	4.896500676
313	4.893962947
314	4.892753869
315	4.891545353
316	4.887705526
317	4.884228124
318	4.881597858
319	4.879617775
320	4.876841854
321	4.873831096
322	4.871686459
323	4.87064574
324	4.869319799
325	4.865762739
326	4.863381406
327	4.858857643
328	4.855440518
329	4.854291039
330	4.853137803
331	4.851741359
332	4.850161021
333	4.848933666
334	4.845299781
335	4.841933761
336	4.837488157
337	4.835992497
338	4.835799535
339	4.834415474
340	4.830184849
341	4.827988728
342	4.827464962
343	4.826469942
344	4.823223097
345	4.823157474
346	4.821332238
347	4.81869627
348	4.816629231
349	4.814547796
350	4.813367064
351	4.811495375
352	4.809594144
353	4.807926604
354	4.804952659
355	4.802104531
356	4.801154537
357	4.798436901
358	4.795671796
359	4.793994351
360	4.792619852
361	4.790144241
362	4.787878381
363	4.785733448
364	4.782796194
365	4.781561965
366	4.778868424
367	4.777206729
368	4.774058696
369	4.772199165
370	4.769758462
371	4.767188775
372	4.76487318
373	4.763428436
374	4.760857916
375	4.757438803
376	4.754567305
377	4.752901935
378	4.751905384
379	4.750448767
380	4.745821172
381	4.742353958
382	4.741404006
383	4.738815794
384	4.73861511
385	4.737535928
386	4.734365595
387	4.733302946
388	4.730909088
389	4.729952015
390	4.729228045
391	4.727795743
392	4.725180683
393	4.722589182
394	4.720965179
395	4.718875387
396	4.716305048
397	4.714798124
398	4.713403251
399	4.711861468
400	4.709426702
401	4.706226076
402	4.704491076
403	4.703356307
404	4.702555525
405	4.700799797
406	4.699373596
407	4.697169506
408	4.696071262
409	4.693978235
410	4.692877958
411	4.690735335
412	4.687358112
413	4.686931212
414	4.686345735
415	4.6842664
416	4.682486156
417	4.682193017
418	4.6781817
419	4.677561783
420	4.676847928
421	4.676138932
422	4.675666363
423	4.67337903
424	4.673214892
425	4.673026202
426	4.671410204
427	4.671156058
428	4.668907274
429	4.66573607
430	4.66250408
431	4.660828819
432	4.658715458
433	4.658428138
434	4.656738926
435	4.656308014
436	4.653985321
437	4.652663023
438	4.651600191
439	4.648069994
440	4.647496179
441	4.644606172
442	4.642527859
443	4.639934034
444	4.638779205
445	4.637166356
446	4.63639687
447	4.63493723
448	4.633123761
449	4.631219893
450	4.629868579
451	4.628838111
452	4.6269405
453	4.624560361
454	4.622313591
455	4.619213974
456	4.616879455
457	4.615587283
458	4.615394745
459	4.613446022
460	4.612084806
461	4.610580876
462	4.610049695
463	4.607557413
464	4.605953563
465	4.604489683
466	4.603406009
467	4.601683625
468	4.599641191
469	4.598978861
470	4.598587142
471	4.596881223
472	4.595459363
473	4.594910956
474	4.59454629
475	4.591770855
476	4.589892421
477	4.588384125
478	4.585568186
479	4.583099884
480	4.582924475
481	4.5811113
482	4.577837966
483	4.57555043
484	4.574664182
485	4.574326412
486	4.572954463
487	4.572224554
488	4.568695242
489	4.567211797
490	4.566381731
491	4.564350539
492	4.563196171
493	4.562848374
494	4.562483831
495	4.56177761
496	4.559078028
497	4.556556086
498	4.555333371
499	4.55240569
500	4.549366612
501	4.548741986
502	4.545326525
503	4.54308713
504	4.542200961
505	4.540667878
506	4.538045267
507	4.536003388
508	4.534159466
509	4.532806532
510	4.531357841
511	4.530437144
512	4.529392014
513	4.528986521
514	4.5272068
515	4.526459267
516	4.524905256
517	4.523297691
518	4.521090969
519	4.520091458
520	4.519062391
521	4.517713133
522	4.515916991
523	4.515634243
524	4.513973583
