iter	Passed	Remaining
0	153	153635
1	154	77217
2	155	51650
3	156	38856
4	156	31194
5	157	26088
6	158	22434
7	158	19689
8	159	17573
9	160	15860
10	160	14458
11	161	13285
12	161	12297
13	162	11455
14	163	10731
15	164	10086
16	164	9517
17	165	9009
18	165	8557
19	166	8155
20	167	7791
21	167	7457
22	168	7160
23	169	6885
24	169	6629
25	170	6393
26	171	6173
27	171	5966
28	172	5775
29	173	5593
30	173	5427
31	174	5273
32	175	5128
33	175	4992
34	176	4860
35	176	4738
36	177	4620
37	178	4511
38	178	4406
39	179	4310
40	180	4214
41	181	4128
42	181	4047
43	182	3963
44	183	3884
45	183	3810
46	184	3737
47	184	3666
48	185	3599
49	186	3536
50	187	3479
51	187	3422
52	188	3366
53	189	3311
54	189	3258
55	190	3206
56	190	3156
57	191	3108
58	191	3060
59	192	3016
60	193	2973
61	193	2932
62	194	2892
63	195	2852
64	195	2812
65	196	2775
66	196	2739
67	197	2704
68	197	2671
69	198	2638
70	199	2607
71	200	2577
72	200	2548
73	201	2519
74	201	2490
75	202	2462
76	203	2435
77	203	2407
78	204	2381
79	204	2355
80	205	2330
81	206	2307
82	206	2281
83	207	2260
84	207	2237
85	208	2215
86	208	2192
87	209	2171
88	210	2150
89	210	2129
90	211	2111
91	212	2094
92	212	2076
93	213	2058
94	214	2039
95	214	2022
96	215	2004
97	215	1987
98	216	1970
99	217	1953
100	217	1939
101	218	1924
102	219	1909
103	219	1894
104	220	1879
105	220	1863
106	221	1848
107	222	1833
108	222	1819
109	223	1805
110	223	1791
111	224	1779
112	225	1766
113	225	1754
114	226	1741
115	226	1728
116	227	1714
117	227	1702
118	228	1690
119	228	1677
120	229	1666
121	229	1653
122	230	1643
123	231	1632
124	231	1621
125	232	1610
126	232	1599
127	233	1588
128	233	1577
129	234	1567
130	234	1557
131	235	1547
132	235	1537
133	236	1527
134	237	1519
135	237	1510
136	238	1501
137	239	1493
138	239	1485
139	240	1476
140	241	1468
141	241	1459
142	242	1451
143	242	1443
144	243	1435
145	244	1428
146	244	1420
147	245	1412
148	245	1404
149	246	1396
150	246	1388
151	247	1380
152	247	1372
153	248	1365
154	249	1358
155	249	1352
156	250	1345
157	251	1338
158	251	1331
159	252	1324
160	252	1316
161	253	1309
162	253	1303
163	254	1296
164	254	1289
165	255	1283
166	256	1278
167	256	1272
168	257	1265
169	257	1259
170	258	1253
171	259	1247
172	259	1241
173	260	1235
174	260	1228
175	261	1223
176	261	1217
177	262	1212
178	263	1206
179	263	1201
180	264	1195
181	264	1190
182	265	1184
183	265	1178
184	266	1173
185	266	1167
186	267	1162
187	268	1157
188	268	1153
189	269	1148
190	269	1142
191	270	1137
192	270	1132
193	271	1127
194	271	1122
195	272	1117
196	273	1113
197	273	1108
198	274	1104
199	274	1099
200	275	1094
201	275	1090
